codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
196543,D,2025-06-27 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
197062,D,2025-07-28 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
197561,D,2025-08-27 00:00:00.000,BRADESCO VIDA E PREVIDENCIA,"983,80",0,,237,0,39,0,0,0,NULL
195555,C,2025-04-29 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,76",54513,100,237,2,0,1,1,1565,54513
197580,C,2025-08-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,67",55088,100,237,2,0,2,1,789,55088
197867,C,2025-09-12 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,66",55088,100,237,2,0,3,1,789,55088
195682,C,2025-05-09 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,59",54504,100,237,2,0,2,1,2502,54504
195951,C,2025-05-23 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,59",54504,100,237,2,0,3,1,2502,54504
194605,C,2025-03-07 00:00:00.000,Lançamento Referente Recebimento Duplicata,"983,41",54186,100,237,2,0,1,1,2339,54186
193706,D,2025-01-13 00:00:00.000,Lançamento Referente Pagamento Duplicata,"983,16",1010636124,U,237,0,55,1,3,5394,1010636124
198442,D,2025-10-20 00:00:00.000,Lançamento Referente Pagamento Duplicata,"982,61",42,S,2,0,29,1,2,4961,42
195523,C,2025-04-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"982,48",54450,100,237,2,0,1,1,626,54450
195833,C,2025-05-15 00:00:00.000,Lançamento Referente Recebimento Duplicata,"981,32",54590,100,237,2,0,1,1,542,54590
194203,C,2025-02-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"980,63",53921,100,237,2,0,2,1,5326,53921
195124,C,2025-04-07 00:00:00.000,Lançamento Referente Recebimento Duplicata,"980,63",53921,100,237,2,0,6,1,5326,53921
194440,C,2025-02-24 00:00:00.000,Lançamento Referente Recebimento Duplicata,"980,63",53921,100,237,2,0,3,1,5326,53921
194750,C,2025-03-13 00:00:00.000,Lançamento Referente Recebimento Duplicata,"980,63",53921,100,237,2,0,4,1,5326,53921
194953,C,2025-03-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"980,63",53921,100,237,2,0,5,1,5326,53921
195528,C,2025-04-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"980,61",53921,100,237,2,0,7,1,5326,53921
198630,D,2025-11-03 00:00:00.000,Lançamento Referente Pagamento Duplicata,"980,53",1947,1,2,0,22,2,2,5805,1947
198428,D,2025-10-20 00:00:00.000,Lançamento Referente Pagamento Duplicata,"980,52",1947,1,2,0,22,1,2,5805,1947
193557,C,2025-01-03 00:00:00.000,Lançamento Referente Recebimento Duplicata,"979,41",53669,100,237,2,0,4,1,3273,53669
195047,C,2025-04-01 00:00:00.000,Lançamento Referente Recebimento Duplicata,"978,87",54354,100,237,2,0,1,1,4955,54354
196049,C,2025-05-30 00:00:00.000,Lançamento Referente Recebimento Duplicata,"978,81",54606,100,237,2,0,2,1,1586,54606
196305,C,2025-06-12 00:00:00.000,Lançamento Referente Recebimento Duplicata,"978,81",54606,100,237,2,0,3,1,1586,54606
196453,C,2025-06-20 00:00:00.000,Lançamento Referente Recebimento Duplicata,"977,24",54790,100,237,2,0,1,1,4255,54790
193846,C,2025-01-16 00:00:00.000,Lançamento Referente Recebimento Duplicata,"976,56",53861,100,237,2,0,1,1,1362,53861
198592,D,2025-10-29 00:00:00.000,Lançamento Referente Pagamento Duplicata,"976,45",461,1,2,0,22,1,2,5210,461
199098,D,2025-11-28 00:00:00.000,Lançamento Referente Pagamento Duplicata,"976,45",461,1,2,0,22,2,2,5210,461
195559,D,2025-04-30 00:00:00.000,Lançamento Referente Pagamento Duplicata,"976,25",22875,1,237,0,22,2,2,4923,22875
195337,D,2025-04-16 00:00:00.000,Lançamento Referente Pagamento Duplicata,"976,25",22875,1,237,0,22,1,2,4923,22875
195751,D,2025-05-14 00:00:00.000,Lançamento Referente Pagamento Duplicata,"976,24",22875,1,237,0,22,3,2,4923,22875
195611,C,2025-05-05 00:00:00.000,Lançamento Referente Recebimento Duplicata,"975,85",54523,100,237,2,0,1,1,802,54523
194509,D,2025-02-28 00:00:00.000,FÉRIAS FUNCIONARIO,"975,33",0,,237,0,18,0,0,0,NULL
197383,C,2025-08-11 00:00:00.000,Lançamento Referente Recebimento Duplicata,"975,22",54583,100,237,2,0,1,1,2403,54583
198236,C,2025-10-07 00:00:00.000,Lançamento Referente Recebimento Duplicata,"975,14",55359,100,237,2,0,1,1,1153,55359
198833,C,2025-11-12 00:00:00.000,Lançamento Referente Recebimento Duplicata,"974,87",55596,100,237,2,0,1,1,5753,55596
195476,C,2025-04-24 00:00:00.000,Lançamento Referente Recebimento Duplicata,"974,79",54351,100,237,2,0,2,1,972,54351
198262,D,2025-10-09 00:00:00.000,Lançamento Referente Pagamento Duplicata,"974,71",134110,1,2,0,22,1,2,249,134110
193868,C,2025-01-17 00:00:00.000,Lançamento Referente Recebimento Duplicata,"973,53",54007,100,237,2,0,1,1,2638,54007
198125,C,2025-09-30 00:00:00.000,Lançamento Referente Recebimento Duplicata,"973,38",55176,100,237,2,0,2,1,5426,55176
198577,C,2025-10-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"973,38",55176,100,237,2,0,3,1,5426,55176
197045,C,2025-07-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"971,85",54950,100,237,2,0,1,1,478,54950
196009,C,2025-05-28 00:00:00.000,Lançamento Referente Recebimento Duplicata,"971,00",54655,100,237,2,0,1,1,394,54655
195615,C,2025-05-05 00:00:00.000,Lançamento Referente Recebimento Duplicata,"969,58",54546,100,237,2,0,1,1,5645,54546
